# RA	DEC	class	z	D (cm)	Objname	log(L_[OIII])	log(L_MIR)	log(L_x(2-10))			F_i(2-10)	F_i(14-195)	logNH(low-upper)	F_OIII(cgs	F_MIR(cgs)	L_MIR(lower limit)	H/S	cm/Mpc	c	H
#											10^-12 erg cm^-2 s^-1		cm^-2					3.09E+24	3.00E+05	67.8
06h52m12.25s	74d25m37.5s	Sy1.5	0.022181	3.03E+26	Mrk6	42.08315057	43.80805076	43.25185855			15.5	58.2	20.76[20.52-20.88]		2.24E-24		H			
04h36m22.24s	-10d22m33.8s	Sy1.2	0.03555	4.85E+26	Mrk618	41.73375656	44.39469871	43.4							3.37E-24		H			
09h18m26.01s	16d18m19.2s	Sy1.2	0.029234	3.99E+26	Mrk704	41.82858813	44.24718206	43.4							3.54E-24		H			
12h18m26.51s	29d48m46.3s	Sy1.5	0.0129	1.76E+26	Mrk766	41.22758197	43.57323823	42.73375883			13.9	21.4	20.32[20.15-20.40]		3.86E-24		H			
07h42m41.73s	65d10m37.5s	Sy2	0.037	5.05E+26	Mrk78	42.08114152	44.00896873	43.81559822			20.4	12	24.11[23.99-24.19]		1.28E-24		H			
13h02m58.84s	16d24m27.5s	Sy1.5	0.067	9.15E+26	Mrk783	42.35352009	44.42035009	44.00848594			9.7	16.8	20.78[20.56-21.02]		1.01E-24	*	H			
07h42m32.80s	49d48m34.7s	Sy1.5	0.031579	4.31E+26	Mrk79	41.79102731	44.25083636	43.42905919			11.5	44.8	20.0[20.0-20.0]		3.06E-24		H			
22h36m46.50s	-12d32m42.6s	Sy1.9	0.02399	3.28E+26	Mrk915	41.99751079	43.76863635	43.19781096			11.7	30.5	20.0[20.0-20.0]		1.75E-24	*	H			
02h42m40.71s	-00d00m47.8s	Sy1.9	0.003232641298	4.41E+25	NGC1068	41.72431373	43.79357074	42.81730031			268.3	206	24.95[24.63-25.16]		0		H			
03h03m49.11s	-01d06m13.5s		0.01306525858	1.78E+26	NGC1194	39.96954629	43.44357074	43.67294591			117.8	114.5	24.33[24.30-24.39]	2.34E-14			H			
03h08m10.79s	-22d57m38.9s	Sy2	0.03578	4.89E+26	NGC1229	41.5372601	43.41531507	43.95541177			30.1	47.5	24.94[24.49-26.00]		3.48E-25		H			
00h47m33.12s	-25d17m17.6s	Sy	0.0008	1.09E+25	NGC253	37.23117924	41.58771726	39.26						1.14E-14			S			
10h01m57.80s	55d40m47.2s	Sy2	0.00361	4.93E+25	NGC3079	37.54452262	43.28588255	41.30412294			6.6	112.6	25.10[24.51-26.00]		2.54E-23		H			
10h23m30.58s	19d51m54.2s	Sy1.5	0.004378	5.98E+25	NGC3227	40.5927271	43.09390892	42.22265906			37.2	106.6	20.95[20.94-21.00]		1.11E-23		H			
10h47m49.59s	12d34m53.8s		0.003	4.10E+25	NGC3379	38.15484584	40.2245	38.29						6.80E-15	0		S			
10h48m23.46s	-25d09m43.4s	Sy1.9	0.01382852111	1.89E+26	NGC3393	41.98183319	42.87357074	42.74102119			12.3	34.6	24.50[24.31-24.82]		0		H			
11h05m48.58s	-00d02m09.1s		0.0027	3.69E+25	NGC3521	38.1446358	40.91530982	38.197						8.20E-15	0	* en OIII	S			
11h16m54.64s	18d03m06.3s	Sy2	0.0032	4.37E+25	NGC3607	39.12190414	40.6461272	38.729						5.54E-14	0		S			
11h20m14.96s	12d59m29.5s	Sy3	0.0024	3.28E+25	NGC3627	37.84452025	40.9824673	39.5						5.20E-15	0		H			
11h20m16.97s	13d35m22.9s		0.0028	3.82E+25	NGC3628	36.21665299	43.6461396	38.67						9.00E-17	0	* en OIII	S			
11h56m28.13s	55d07m30.9s	Sy1.9	0.004804064151	6.56E+25	NGC3982	40.03234201	41.55357074	40.2						2.00E-13	0		H			
12h03m09.61s	44d31m52.8s	Sy1.5	0.003139	4.29E+25	NGC4051	39.90753715	42.88995083	41.62796506			18.4	38.1	20.00[20.00-20.00]		1.35E-23		H			
12h10m32.58s	39d24m20.6s	Sy1.5	0.002315	3.16E+25	NGC4151	41.28442647	42.57792179	42.02706245			84.8	525.7	22.71[22.41-23.05]		1.21E-23		H			
01h11m27.63s	-38d05m00.5s	Sy1.9	0.011838	1.62E+26	NGC424	40.83585062	42.70699128	43.79051007			188.1	76.6	24.33[24.32-24.34]		6.23E-25		H			
12h21m54.90s	04d28m25.1s	Sy2	0.0052	7.10E+25	NGC4303	38.73105014	38.380028	36.52						8.53E-15			S			
12h25m48.86s	33d32m48.9s	Sy1.9	0.000987	1.35E+25	NGC4395	38.9055912	40.86660301	40.43008092			11.8	25	21.04[20.99-21.08]		1.29E-24	*	H			
12h31m22.16s	57d57m52.7s	Sy2	0.011478	1.57E+26	NGC4500	40.32723767	43.33074798	42.85478503			23.2	12.6	23.90[23.62-23.99]		2.79E-24		H			
12h35m36.63s	-39d54m33.3s	Sy1.9	0.01176	1.61E+26	NGC4507	41.94746982	43.62033961	43.52741259			104	296.9	23.95[23.90-23.99]		5.17E-24		H			
12h50m53.06s	41d07m13.6s	Sy	0.001099995997	1.50E+25	NGC4736	37.44651182	39.95357074	38.56						9.90E-15			S			
12h52m12.46s	-13d24m53.0s	Sy1.5	0.01422	1.94E+26	NGC4748	41.35747082	43.30432149	42.33812163			4.6	13.5	20.00[20.00-20.00]		1.71E-24		H			
